O:\SteamTrioInstall\steamapps\common\SourceFilmmaker\game\sfm.exe +sv_lan 1 -useqtport -tools -dev -sw -w 1280 -h 720 +mat_hdr_level 3 +mat_queue_mode 0 -game usermod -insecure

o:\steamtrioinstall\steamapps\common\sourcefilmmaker\game\usermod\elements\sessions\crunconceptrevolver.dmx#0

1280x720 @24.00 fps
motion blur samples:    1
depth of field samples: per-camera settings

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
    131	  0.133	     18	shot1                 	really_big_totally_bla	    8	    1	    8
    132	  0.135	     18	shot1                 	really_big_totally_bla	    8	    1	    8
    133	  0.152	     19	shot1                 	really_big_totally_bla	    8	    1	    8
    134	  0.140	     19	shot1                 	really_big_totally_bla	    8	    1	    8
    135	  0.135	     19	shot1                 	really_big_totally_bla	    8	    1	    8
    136	  0.139	     19	shot1                 	really_big_totally_bla	    8	    1	    8
    137	  0.138	     19	shot1                 	really_big_totally_bla	    8	    1	    8
    138	  0.137	     19	shot1                 	really_big_totally_bla	    8	    1	    8
    139	  0.136	     19	shot1                 	really_big_totally_bla	    8	    1	    8
    140	  0.137	     19	shot1                 	really_big_totally_bla	    8	    1	    8
    141	  0.134	     20	shot1                 	really_big_totally_bla	    8	    1	    8
    142	  0.137	     20	shot1                 	really_big_totally_bla	    8	    1	    8
    143	  0.135	     20	shot1                 	really_big_totally_bla	    8	    1	    8

finished rendering 144 frames
